Release,Technique,ModuleName,Feature,LOC
v2,CC,DefaultReminderDAO,manageCategory,21
v2,CC,DefaultReminderDAO,create,7
v2,CC,DefaultReminderDAO,view,13
v2,CC,DefaultReminderDAO,edit,10
v2,CC,DefaultReminderDAO,delete,12
v2,CC,DefaultReminderDAO,done,2
v2,CC,DefaultReminderDAO,fixedDate,4
v2,CC,EditCategoryDialogFragment,manageCategory,75
v2,CC,EditReminderActivity,edit,78
v2,CC,EditReminderActivity,staticCategory,40
v2,CC,EditReminderActivity,manageCategory,40
v2,CC,EditReminderActivity,fixedDate,6
v2,CC,Entity,reminder,10
v2,CC,Entity,manageReminder,10
v2,CC,ExternalAddReminderActivity,create,122
v2,CC,ExternalAddReminderActivity,staticCategory,48
v2,CC,ExternalAddReminderActivity,manageCategory,55
v2,CC,ExternalAddReminderActivity,fixedDate,8
v2,CC,FilterListFragment,staticCategory,141
v2,CC,FilterListFragment,manageCategory,40
v2,CC,FiltersListChangeListener,reminder,5
v2,CC,FiltersListChangeListener,gui,5
v2,CC,ForeignKey,reminder,10
v2,CC,ForeignKey,manageReminder,10
v2,CC,GenericDAO,reminder,126
v2,CC,GenericDAO,manageReminder,126
v2,CC,GenericDAO,staticCategory,3
v2,CC,GenericDAO,manageCategory,3
v2,CC,InvalidDateException,reminder,7
